Continent,NonState,Country,Legal: All genders,Age of consent: Equal,Age of consent: Unequal,Illegal: Male,Illegal: Female,Penalising text: Sexual act,Penalising text: Sodomy,Penalising text: Against nature,Penalising text: Buggery,Penalising text: Indecency/other,Promotion or Morality: Penal code,Promotion or Morality: Morality code,Max Sentences: 1 Month  to 2 Years,Max Sentences: 3 Years to 7 Years,Max Sentences: 8 Years to 13 Years,Max Sentences: 14 Years to Life,Max Sentences: Death,Arrests in past 3 years - Yes ,Ban on NGOs  - Yes,NRHI  SO inclusive - Yes,NRHI  SO inclusive - No ,NRHI  SO inclusive - Unclear,NRHI  SO inclusive - None,Protection: Constitution,Protection: Employment,Protection: Other,Protection: Hate Crime,Protection: Incitemenrt,Protection: Conversion Therapy Ban,Relationship recognition :Marriage,Relationship recognition: Civil recognition,Relationship recognition: Joint adoption,Relationship recognition: 2nd parent adoption
AF,No,Kenya,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Lesotho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF,No,Liberia,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Libya,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Madagascar,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Malawi,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Mali,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Mauritania,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Mauritius,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
AF,No,Morocco,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
